Transaction ID,Salesperson,Date,Payment Month,Status,Revenue,Company Name
1,Moll,01/01/2024,Jan,Existing,6300,Praxis Corporation
2,Schwarz,02/01/2024,Jan,New,13170,Minco
3,Palacios,02/01/2024,Jan,New,17070,General Forge and Foundry
4,Moll,02/01/2024,Jan,Lapsed,7950,Sonky Rubber Goods
5,Hall,02/01/2024,Jan,New,14490,QWERTY Logistics
6,Levy,02/01/2024,Jan,New,26040,Sudden Pacific Railroad
7,Gilman,02/01/2024,Jan,Lapsed,27960,Quark Industries
8,Ahmad,02/01/2024,Jan,Lapsed,29040,Tip Top Cafe
9,Vincent,02/01/2024,Jan,Existing,6420,Galaxy Corp
10,Gilman,02/01/2024,Jan,Existing,17040,OmniCo
11,Ahmad,02/01/2024,Jan,Existing,23880,Demo Inc.
12,Parrish,03/01/2024,Jan,New,17850,Input Inc.
13,Baines,03/01/2024,Jan,Existing,18660,Trans Allied Airlines
14,Ahmad,03/01/2024,Jan,Existing,7710,Flowers By Irene
15,Hitchcock,03/01/2024,Jan,Existing,1920,Global Dynamics
16,Ahmad,03/01/2024,Jan,Lapsed,5250,Videlectrix
17,Moll,03/01/2024,Jan,Existing,19080,MARS Industries
18,Simonson,03/01/2024,Jan,Existing,28770,Biffco
19,Parrish,03/01/2024,Jan,Lapsed,2370,Big T Burgers and Fries
20,Vincent,03/01/2024,Jan,New,15990,Thatherton Fuels
21,Palacios,03/01/2024,Jan,Lapsed,13980,Tessier-Ashpool
22,Simonson,03/01/2024,Jan,Existing,23400,Hishii Industries
23,Simonson,03/01/2024,Jan,Lapsed,3210,Contoso Corporation
24,Levy,03/01/2024,Jan,New,29100,NorthAm Robotics
25,Hitchcock,04/01/2024,Jan,Lapsed,22080,NorthAm Robotics
26,Hall,04/01/2024,Jan,New,13560,Trade Federation
27,Vincent,04/01/2024,Jan,Lapsed,10380,Acme Corp
28,Levy,04/01/2024,Jan,Lapsed,6300,Springfield Nuclear Power Plant
29,Batiste,04/01/2024,Jan,Existing,5130,Videlectrix
30,Hall,04/01/2024,Jan,New,12120,Primatech Paper Co.
31,Vincent,04/01/2024,Jan,Existing,3960,Parrish Communications
32,Levy,04/01/2024,Feb,Existing,2250,Ace Tomato Company
33,Kroll,04/01/2024,Feb,Existing,12840,Big Belly Burger
34,Hitchcock,05/01/2024,Feb,New,13290,Buy and Large Corporation
35,Kroll,05/01/2024,Feb,New,14460,Input Inc.
36,Schwarz,05/01/2024,Feb,Existing,23730,Colonial Movers
37,Hall,05/01/2024,Feb,Existing,11520,Monarch Playing Card Co.
38,Kroll,05/01/2024,Feb,New,4800,Gizmonic Institute
39,Baines,05/01/2024,Feb,Lapsed,22140,Sirius Cybernetics Corporation
40,Palacios,05/01/2024,Feb,New,2760,Universal Exports
41,Palacios,05/01/2024,Feb,New,19800,Mainway Toys
42,Vincent,05/01/2024,Feb,New,19140,Nordyne Defense Dynamics
43,Hall,05/01/2024,Feb,New,25080,Acme Corp
44,Gilman,06/01/2024,Feb,Existing,2580,Hishii Industries
45,Schwarz,06/01/2024,Feb,New,25830,Foo Bars
46,Moll,06/01/2024,Feb,Existing,14160,Monks Diner
47,Baines,06/01/2024,Feb,Existing,2040,Globo-Chem
48,Batiste,06/01/2024,Feb,New,28170,Rouster and Sideways
49,Palacios,06/01/2024,Feb,New,12090,Ankh-Sto Associates
50,Hitchcock,06/01/2024,Feb,Existing,21270,Omni Consumer Products
51,Vincent,06/01/2024,Feb,Lapsed,29190,Roxxon
52,Hitchcock,06/01/2024,Feb,New,10350,Gringotts
53,Baines,06/01/2024,Feb,New,5250,Buy and Large Corporation
54,Ahmad,06/01/2024,Feb,Lapsed,22920,Rossum Corporation
55,Palacios,07/01/2024,Feb,Existing,6300,Zorg Industries
56,Pritchett,07/01/2024,Feb,New,22110,CC Corporation
57,Baines,07/01/2024,Feb,Lapsed,24840,Springfield Nuclear Power Plant
58,Palacios,07/01/2024,Feb,Existing,1920,Matsumura Fishworks
59,Moll,07/01/2024,Feb,Existing,16200,Sixty Second Avenue
60,Hitchcock,07/01/2024,Feb,New,12300,123 Warehousing
61,Baines,07/01/2024,Mar,Lapsed,15360,QWERTY Logistics
62,Gilman,07/01/2024,Mar,New,3870,Sonky Rubber Goods
63,Vincent,07/01/2024,Mar,Existing,8760,Leeding Engines Ltd.
